الولاية,الموسسة,القطاع,نوع_التكوين,طاقة_الايواء,الاختصاص,المستوى,شروط_الانتداب,العنوان,الهاتف,العنوان_الالكتروني,feuille
باجة,مركز التكوين المهني الفلاحي بتستور,فلاحة,تكوين أساسي,48,زراعة الخضروات,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,9060.0,78570548.0,,معطيات
باجة,مركز التكوين المهني الفلاحي بتستور,فلاحة,تكوين مستمر,24,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,9060.0,78570548.0,,معطيات
باجة,مركز التكوين المهني الفلاحي بتيبار,فلاحة,تكوين أساسي,15,تربية الأرانب,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,9023.0,78475110.0,,معطيات
باجة,مركز التكوين المهني الفلاحي بتيبار,فلاحة,تكوين مستمر,15,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,9023.0,78475110.0,,معطيات
بنزرت,مركز التكوين المهني الفلاحي بالعالية,فلاحة,تكوين أساسي,20,تربية الأرانب,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,7016.0,72442528.0,,معطيات
بنزرت,مركز التكوين المهني الفلاحي بالعالية,فلاحة,تكوين أساسي,40,تربية الحيوانات الصغرى وزراعة الخضروات,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,7016.0,72442528.0,,معطيات
بنزرت,مركز التكوين المهني الفلاحي بالعالية,فلاحة,تكوين مستمر,30,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,7016.0,72442528.0,,معطيات
بنزرت,مركز التكوين المهني الفلاحي في قطاع الغابات بالرمال,فلاحة,تكوين مستمر,30,الغابات,تكوين مستمر,جميع المستويات,7024.0,72446966.0,,معطيات
بنزرت,مركز التكوين المهني للصيد البحري بغار الملح,صيد بحري,تكوين أساسي,20,محركاتي صيد بحري,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,7033.0,72448935.0,,معطيات
بنزرت,مركز التكوين المهني للصيد البحري بغار الملح,صيد بحري,تكوين أساسي,15,صياد بحري,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,7033.0,72448935.0,,معطيات
تطاوين,مركز التكوين المهني الفلاحي بالقرضاب,فلاحة,تكوين أساسي,15,العناية بالأشجار المثمرة,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,3200.0,75870540.0,,معطيات
تطاوين,مركز التكوين المهني الفلاحي بالقرضاب,فلاحة,تكوين مستمر,15,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,3200.0,75870540.0,,معطيات
توزر,المركز القطاعي للتكوين المهني الفلاحي في زراعة النخيل بدقاش,فلاحة,تكوين أساسي,20,الزراعات الواحتية,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,2260.0,76420407.0,,معطيات
توزر,المركز القطاعي للتكوين المهني الفلاحي في زراعة النخيل بدقاش,فلاحة,تكوين أساسي,50,زراعة الخضروات الحقلية والمحمية,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,2260.0,76420407.0,,معطيات
توزر,المركز القطاعي للتكوين المهني الفلاحي في زراعة النخيل بدقاش,فلاحة,تكوين مستمر,50,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,2260.0,76420407.0,,معطيات
جندوبة,المركز القطاعي للتكوين المهني الفلاحي في الزراعات الكبرى ببوسالم,فلاحة,تكوين أساسي,10,الآلية الفلاحيّة,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,8170.0,78615411.0,,معطيات
جندوبة,المركز القطاعي للتكوين المهني الفلاحي في الزراعات الكبرى ببوسالم,فلاحة,تكوين أساسي,0,تربية الأرانب,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,8170.0,78615411.0,,معطيات
جندوبة,المركز القطاعي للتكوين المهني الفلاحي في الزراعات الكبرى ببوسالم,فلاحة,تكوين مستمر,40,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,8170.0,78615411.0,,معطيات
جندوبة,مركز التكوين المهني الفلاحي بحكيم الجنوبية,فلاحة,تكوين أساسي,30,تربية الأرانب وتربية النحل,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,8160.0,78604835.0,,معطيات
جندوبة,مركز التكوين المهني الفلاحي بحكيم الجنوبية,فلاحة,تكوين أساسي,30,تربية الحيوانات الصغرى,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,8160.0,78604835.0,,معطيات
جندوبة,مركز التكوين المهني الفلاحي بحكيم الجنوبية,فلاحة,تكوين مستمر,20,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,8160.0,78604835.0,,معطيات
جندوبة,مركز التكوين المهني للصيد البحري بطبرقة,صيد بحري,تكوين أساسي,20,ربان صيد ساحلي,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,8170.0,78671344.0,,معطيات
جندوبة,مركز التكوين المهني للصيد البحري بطبرقة,صيد بحري,تكوين أساسي,25,ربان صيد أعماق,مؤهّل تقني سامي,شهادة الباكالوريا,8170.0,78671344.0,,معطيات
زغوان,المركز القطاعي للتكوين المهني الفلاحي في الآلية الفلاحية بجقار,فلاحة,تكوين أساسي,20,الآلية الفلاحيّة,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,1140.0,72676335.0,centrefahs@yahoo.fr,معطيات
زغوان,المركز القطاعي للتكوين المهني الفلاحي في الآلية الفلاحية بجقار,فلاحة,تكوين أساسي,20,سائق ومستعمل الآلات فلاحية,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,1140.0,72676335.0,centrefahs@yahoo.fr,معطيات
زغوان,المركز القطاعي للتكوين المهني الفلاحي في الآلية الفلاحية بجقار,فلاحة,تكوين أساسي,20,الآلية وإصلاح المعدات الفلاحية,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,1140.0,72676335.0,centrefahs@yahoo.fr,معطيات
زغوان,المركز القطاعي للتكوين المهني الفلاحي في الآلية الفلاحية بجقار,فلاحة,تكوين مستمر,20,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,1140.0,72676335.0,centrefahs@yahoo.fr,معطيات
سليانة,مركز التكوين المهني الفلاحي بسيدي بورويس,فلاحة,تكوين أساسي,40,تربية البقر,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,6113.0,78898043.0,,معطيات
سليانة,مركز التكوين المهني الفلاحي بسيدي بورويس,فلاحة,تكوين أساسي,20,تربية البقر,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,6113.0,78898043.0,,معطيات
سليانة,مركز التكوين المهني الفلاحي بسيدي بورويس,فلاحة,تكوين مستمر,20,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,6113.0,78898043.0,,معطيات
سليانة,مركز التكوين المهني الفلاحي في قطاع الآلية بالقنطرة,فلاحة,تكوين مستمر,45,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,6100.0,78802180.0,,معطيات
سوسة,المركز القطاعي للتكوين المهني الفلاحي في زراعة الخضروات البدريّة بشط مريم,فلاحة,تكوين أساسي,30,زراعة الخضروات وزراعة نباتات الزينة وتهيئة المناطق الخضراء,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,4042.0,73327666.0,cfpa.chottmariem@iresa.agrinet.tn,معطيات
سوسة,المركز القطاعي للتكوين المهني الفلاحي في زراعة الخضروات البدريّة بشط مريم,فلاحة,تكوين أساسي,30,زراعة الخضروات وزراعة نباتات الزينة وتهيئة المناطق الخضراء,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,4042.0,73327666.0,cfpa.chottmariem@iresa.agrinet.tn,معطيات
سوسة,المركز القطاعي للتكوين المهني الفلاحي في زراعة الخضروات البدريّة بشط مريم,فلاحة,تكوين مستمر,30,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,4042.0,73327666.0,cfpa.chottmariem@iresa.agrinet.tn,معطيات
سيدي بوزيد,مركز التكوين المهني الفلاحي بسيدي بوزيد,فلاحة,تكوين أساسي,20,تربية الأرانب,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,9100.0,76632098.0,,معطيات
سيدي بوزيد,مركز التكوين المهني الفلاحي بسيدي بوزيد,فلاحة,تكوين أساسي,20,زراعة وانتاج الأشجار المثمرة,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,9100.0,76632098.0,,معطيات
سيدي بوزيد,مركز التكوين المهني الفلاحي بسيدي بوزيد,فلاحة,تكوين مستمر,35,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,9100.0,76632098.0,,معطيات
صفاقس,المركز القطاعي للتكوين المهني الفلاحي في الأشجار المثمرة بالمناطق القاحلة ببوغرارة,فلاحة,تكوين أساسي,30,الآلية الفلاحيّة,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,3098.0,74258636.0,,معطيات
صفاقس,المركز القطاعي للتكوين المهني الفلاحي في الأشجار المثمرة بالمناطق القاحلة ببوغرارة,فلاحة,تكوين أساسي,10,العناية بالأشجار المثمرة وسائق ومستعمل الآلات فلاحية,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,3098.0,74258636.0,,معطيات
صفاقس,المركز القطاعي للتكوين المهني الفلاحي في الأشجار المثمرة بالمناطق القاحلة ببوغرارة,فلاحة,تكوين مستمر,30,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,3098.0,74258636.0,,معطيات
صفاقس,مركز التكوين المهني للصيد البحري بصفاقس,صيد بحري,تكوين أساسي,25,ميكانيكي صيد بحري,مؤهّل تقني سامي,شهادة الباكالوريا,3000.0,74497255.0,,معطيات
صفاقس,مركز التكوين المهني للصيد البحري بصفاقس,صيد بحري,تكوين أساسي,15,محركاتي صيد بحري,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,3000.0,74497255.0,,معطيات
قابس,مركز التكوين المهني الفلاحي بزركين,فلاحة,تكوين أساسي,30,تربية الأغنام والماعز وتربية البقر وتربية دواجن اللحم,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,6080.0,75310180.0,,معطيات
قابس,مركز التكوين المهني الفلاحي بزركين,فلاحة,تكوين أساسي,30,زراعة الخضروات,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,6080.0,75310180.0,,معطيات
قابس,مركز التكوين المهني الفلاحي بزركين,فلاحة,تكوين مستمر,20,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,6080.0,75310180.0,,معطيات
قابس,مركز التكوين المهني للصيد البحري بقابس,صيد بحري,تكوين أساسي,20,محركاتي صيد بحري,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,6000.0,75271376.0,,معطيات
قابس,مركز التكوين المهني للصيد البحري بقابس,صيد بحري,تكوين أساسي,15,صياد بحري,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,6000.0,75271376.0,,معطيات
قبلي,مركز التكوين المهني الفلاحي بقبلي,فلاحة,تكوين أساسي,0,زراعة الخضروات المحميّة,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,4200.0,75455830.0,,معطيات
قبلي,مركز التكوين المهني الفلاحي بقبلي,فلاحة,تكوين مستمر,30,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,4200.0,75455830.0,,معطيات
قفصة,مركز التكوين المهني الفلاحي بقفصة,فلاحة,تكوين أساسي,50,تربية البقر,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,2100.0,76214125.0,,معطيات
قفصة,مركز التكوين المهني الفلاحي بقفصة,فلاحة,تكوين مستمر,40,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,2100.0,76214125.0,,معطيات
مدنين,مركز التكوين المهني الفلاحي بالفجاء,فلاحة,تكوين أساسي,15,زبار ومطعم أشجار مثمرة ونباتات الزينة,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,4100.0,75633007.0,,معطيات
مدنين,مركز التكوين المهني الفلاحي بالفجاء,فلاحة,تكوين أساسي,20,زراعة نباتات الزينة وتهيئة المناطق الخضراء,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,4100.0,75633007.0,,معطيات
مدنين,مركز التكوين المهني الفلاحي بالفجاء,فلاحة,تكوين مستمر,25,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,4100.0,75633007.0,,معطيات
مدنين,مركز التكوين المهني للصيد البحري بمدنين,صيد بحري,تكوين أساسي,20,محركاتي صيد بحري,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,4170.0,75684259.0,,معطيات
مدنين,مركز التكوين المهني للصيد البحري بمدنين,صيد بحري,تكوين أساسي,15,صياد بحري,شهادة الكفاءة المهنيّة,4170,4170.0,75684259.0,,معطيات
مدنين,مركز التكوين المهني للصيد البحري بمدنين,صيد بحري,تكوين أساسي,10,الغوص,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,4170.0,75684259.0,,معطيات
نابل,المعهد القطاعي للتكوين المهني الفلاحي في زراعة القوارص والعنب ببوشريك,فلاحة,تكوين أساسي,25,زراعة وانتاج الأشجار المثمرة,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,8030.0,72371766.0,,معطيات
نابل,المعهد القطاعي للتكوين المهني الفلاحي في زراعة القوارص والعنب ببوشريك,فلاحة,تكوين أساسي,75,زراعة وانتاج الأشجار المثمرة,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,8030.0,72371766.0,,معطيات
نابل,المعهد القطاعي للتكوين المهني الفلاحي في زراعة القوارص والعنب ببوشريك,فلاحة,تكوين مستمر,20,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,8030.0,72371766.0,,معطيات
نابل,مركز التكوين المهني الفلاحي بتاكلسة,فلاحة,تكوين أساسي,30,تربية الحيوانات الصغرى,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,8000.0,72396322.0,,معطيات
نابل,مركز التكوين المهني الفلاحي بتاكلسة,فلاحة,تكوين أساسي,10,نباتات الزينة,شهادة المهارة,دون السنة التاسعة وإلى حدود السنة السادسة ابتدائي منهاة,8000.0,72396322.0,,معطيات
نابل,مركز التكوين المهني الفلاحي بتاكلسة,فلاحة,تكوين مستمر,20,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,8000.0,72396322.0,,معطيات
نابل,المركز القطاعي للتكوين المهني في الميكنة البحرية بقليبية,صيد بحري,تكوين أساسي,20,محركاتي صيد بحري,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,8090.0,72296405.0,,معطيات
نابل,المركز القطاعي للتكوين المهني في الميكنة البحرية بقليبية,صيد بحري,تكوين أساسي,25,ميكانيكي صيد بحري,مؤهّل تقني سامي,شهادة الباكالوريا,8090.0,72296405.0,,معطيات
نابل,المركز القطاعي للتكوين المهني في الميكنة البحرية بقليبية,صيد بحري,تكوين أساسي,15,تقني في النجارة البحرية,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,8090.0,72296405.0,,معطيات
الكاف,مركز التكوين المهني الفلاحي بالكاف,فلاحة,تكوين مستمر,0,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,7119.0,78228722.0,,معطيات
بن عروس,مركز التكوين المهني الفلاحي ببن عروس,فلاحة,تكوين مستمر,60,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,2023.0,71301436.0,,معطيات
المنستير,مركز التكوين المهني الفلاحي بجمال,فلاحة,تكوين مستمر,77,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,5020.0,73480200.0,,معطيات
المنستير,مركز التكوين المهني للصيد البحري بطبلبة,صيد بحري,تكوين أساسي,20,محركاتي صيد بحري,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,5080.0,73479422.0,,معطيات
المنستير,مركز التكوين المهني للصيد البحري بطبلبة,صيد بحري,تكوين أساسي,10,صياد بحري,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,5080.0,73479422.0,,معطيات
المنستير,مركز التكوين المهني للصيد البحري بطبلبة,صيد بحري,تكوين أساسي,10,ربان صيد ساحلي,مؤهّل تقني مهني,إنهاء السنة الثانية من التعليم الثانوي,5080.0,73479422.0,,معطيات
المنستير,مركز التكوين المهني للصيد البحري بطبلبة,صيد بحري,تكوين أساسي,10,بحري في تربية الأحياء المائية,شهادة الكفاءة المهنيّة,إنهاء السنة التاسعة أساسي,5080.0,73479422.0,,معطيات
منوبة,مركز التكوين المهني الفلاحي بمنوبة,فلاحة,تكوين مستمر,20,متعدد الإختصاصات,تكوين مستمر,جميع المستويات,,70616791.0,,معطيات
,,,,2397,,,,,,,معطيات
