gouvrnorat,projet,speculation,telephone,region,feuille
MONASTIR,medgold,"Olivier, Trituration, Conditionnement  et exportation d'huile d'olive,",56172000.0,Jammel,Feuil1
MONASTIR,GREATLINES,"Trituration, Conditionnement  et exportation d'huile d'olive,",56172000.0,Jammel,Feuil1
MONASTIR,Exploitation agricole biologique zouhair chaouech,Arboriculture,99406801.0,Moknin,Feuil1
MONASTIR,Huilerie Hamed Ben Messoud,"Olivier, Trituration d'huile d'olive",29509021.0,Zarmdine,Feuil1
MONASTIR,Huilerie biologique ouled brahim,"Olivier, Trituration d'huile d'olive",97892558.0,Ouardanin,Feuil1
Sfax,Huilerie Anouar Mechi,Olivier,,Skhira,Feuil1
Sfax,Huilerie Hassan el Louz,Olivier,51277000.0,El Hencha,Feuil1
Sfax,STE Agricole Innovation,Exportation d'huile d'olive,23552210.0,Sfax,Feuil1
Sfax,Ste huilerie EZZITOUNA,Olivier,98438713.0,Sfax,Feuil1
Sfax,MM2A TUNISIAN EXPORT,Exportation d'huile d'olive,98998521.0,Sfax,Feuil1
Sfax,Henchir Ktari,,24323299.0,Agareb,Feuil1
Sfax,AC ESSALAMA,"Arboriculture, Pastorale valorisation des produits de l'Arboiculture",97764110.0,Menzel chaker,Feuil1
Sfax,Agroliva,Trituration d'huile d'olive,20216000.0,Menzel chaker,Feuil1
Sfax,HUILERIE DU SAHEL,Trituration d'huile d'olive,98263019.0,Sfax,Feuil1
Sfax,Royal Oil Company,Exportation d'huile d'olive,29720888.0,Sfax,Feuil1
Sfax,Huilerie Ben Ayed,Trituration d'huile d'olive,98412233.0,Sfax,Feuil1
Sfax,Terrolivia Company,"Trituration, Conditionnement  et exportation d'huile d'olive,",29470499.0,Sfax,Feuil1
Sfax,Mediterrean Olive Oil Company,"Trituration, Conditionnement  et exportation d'huile d'olive,",20615000.0,Sfax,Feuil1
Sfax,AC chaal,"olivier, pastorale
trituration et conditionnement d'huile d'olive",29029512.0,Ghraïba,Feuil1
Sfax,Ezzitouna Agricol,Olivier,98116155.0,Sfax,Feuil1
Sfax,Wahid Bibi,Olivier,58787838.0,Mahres,Feuil1
Sfax,Compagnia olio oliva,"Trituration, Conditionnement  et exportation d'huile d'olive,",20615000.0,Sfax,Feuil1
Sfax,AC BIR ALI,Olivier,31181823.0,Bir Ali Ben Khalifa,Feuil1
Sfax,SOKAF,"Olivier, Trituration, Conditionnement  et exportation d'huile d'olive,",98322877.0,El Hencha,Feuil1
Sfax,laachach agricol,"Arboriculture, Jachère",98412233.0,Sfax,Feuil1
Sfax,Ste zayatine sfax,"Arboriculture, Jachère, PAM, huile d'olive",,Sfax,Feuil1
Sfax,Rigoula,"Culture maraichère, PAM, valorisation des produits agricoles",29550026.0,Menzel chaker,Feuil1
Sfax,Fathi Naeifer,Huile d'olive,29945245.0,Sfax,Feuil1
Sfax,TEXOLIVIA,"Trituration, Conditionnement  et exportation d'huile d'olive,",29470499.0,Sfax,Feuil1
Sfax,LES COUSCOUSSERIES DU SUD,valorisation des céréales,74287777.0,Sfax,Feuil1
Sfax,Ste Alamana de production des huiles d'olive,"Trituration d'huile d'olive,",24717777.0,Sfax,Feuil1
Sfax,Société Huileries Charfi Export,"Olivier, Trituration, Conditionnement  et exportation d'huile d'olive,",51277000.0,El Hencha,Feuil1
Sfax,Ferme ben Said,"Arboriculture, Forêt,  Jachère, PAM. Valorisation des produits agricoles",98412457.0,Agareb,Feuil1
Sfax,STE Tunisienne de production agroalimentaire,Valorisation des céréales,74287555.0,Sfax,Feuil1
Sfax,Ste faouez de production et conditionnement d'huile d'olive,Production et conditionnement  de l'huile d olive,29601017.0,Sfax,Feuil1
Sfax,Huileurie fraj issa bio,"Olivier, Trituration d'huile d'olive",,Sfax,Feuil1
Sfax,Botiria oil company,"Trituration, Conditionnement  et exportation d'huile d'olive,",24505000.0,Sfax,Feuil1
Sfax,Naceur Kotti,"Olivier, Trituration d'huile d'olive",50577300.0,Sfax,Feuil1
Sfax,AC BOUZOUITA,Olivier,97372724.0,Sfax,Feuil1
Sfax,MOHAMED BEN SAIDA,"Arboriculture, PAM, valorisation des produits Agricole",22558287.0,Mahres,Feuil1
Sfax,Societe Agricole Gargouri,"Olivier, Trituration d'huile d'olive",74846500.0,Sfax,Feuil1
Sidi bouzid,Ste omega tunisie,Figue de barbarie,95763042.0,El Hichria,Feuil1
Sidi bouzid,Ste franco tunisienne gatrana,Spiruline,99331376.0,Gatrana,Feuil1
Sidi bouzid,SMSA elittihad,Olivier,53083089.0,Sidi Bouzid,Feuil1
Sidi bouzid,Ste chebla olives,"Olivier, Trituration d'huile d'olive",98373634.0,Sidi Ali Belaoun,Feuil1
Sidi bouzid,Huilerie el Baraka,"Olivier, Trituration d'huile d'olive",97640652.0,Regueb,Feuil1
Sidi bouzid,Huilerie el Afek,"Olivier, Trituration d'huile d'olive",97010408.0,Bir Lahfay,Feuil1
Sidi bouzid,Unité de production el omrane,"Arboriculture, Pastorale, Jachère",98178161.0,Manzel Bou ZaÏen,Feuil1
Sidi bouzid,Société Weld Sidi Leffi des investissements agricoles,"Trituration d'huile d'olive,",28777083.0,Ouled Hafouz,Feuil1
Sidi bouzid,unite de productionMabrouka,,,El Meknasy,Feuil1
Sidi bouzid,Ste tarek de l'huile d'olive,"Olivier, Trituration d'huile d'olive",28777083.0,Ouled Hafouz,Feuil1
Sousse,CRRHAB,"Cactus, Arboriculture, Culture Maraichères, Jachère",70137700.0,chott mariem,Feuil1
Sousse,BEN ANAYAN Huile,"Trituration, Conditionnement  et exportation d'huile d'olive,",,Sidi Bouali,Feuil1
Sousse,Olea KOTTI,"Olivier, Trituration, Conditionnement  et exportation d'huile d'olive,",52626185.0,Sidi El Hani,Feuil1
Sousse,Adel TEBINI,"Huile d'olive vierge , Huile d'olive vierge lot C4",98452540.0,sousse,Feuil1
Sousse,Huilerie Aziz,Huile dd'olive,56105842.0,Kalaa Sghira,Feuil1
Sousse,Ste Belhaj Younes,Huile d'olive,98343912.0,Kondar,Feuil1
Sousse,Green Aloe,"Cactus, PAM, Arboriculture, Forêt. Valorisation des produits de Cactus, PAM, produits forestiers",,Sidi Bouali,Feuil1
Sousse,CTAB,"Arboriculture, PAM,  Cultures Maraichères, élevage, Trituration d'olive",73327278.0,chott mariem,Feuil1
Sousse,Fathi ROUIS,"Grande culture, PAM, Cactus, Olivier",95729820.0,M'saken,Feuil1
Sousse,Ste Agricole ZARDOUB,"Arboriculture, PAM, Jachère, Trituration d'olive",98291661.0,Sidi El Hani,Feuil1
Sousse,Morad JEMAA,"Oliver, trituration d'huile d'olive",98100666.0,Bouficha,Feuil1
Sousse,Nature orient,"Arboriculture, Catus, valorisation des Produits Agicoles",73200650.0,Sousse,Feuil1
Sousse,Tarek ROUIS,"Grande culture, PAM, Cactus, Olivier",98275781.0,M'saken,Feuil1
Tunis,Domaine Bouzuita 2,"Arboriculture, Grande culture, Culture maraichères, trituration d'olive",22330998.0,Tunis,Feuil1
Tunis,societé agricole KSAR ETTIR,jachère,71940488.0,Tunis,Feuil1
Tunis,Société de developpement el Ghanima el andalouss,"Culture maraichère, Jachère",71940488.0,Tunis,Feuil1
Tunis,SKAYA,"arboricultures, valorusations des produits agricoles",99327397.0,Manar,Feuil1
Zaghouan,Feres AGRI,"Arboriculture, PAM, Grande culture",26430091.0,Zriba,Feuil1
Zaghouan,Ferme majdoub,,98346516.0,Fahs,Feuil1
Zaghouan,Agromed,"Olivier, Trituration, Conditionnement  et exportation d'huile d'olive,",28680862.0,Nadhour,Feuil1
Zaghouan,Haifa Damdoum,Olivier,22546547.0,Sidi Mrayeh,Feuil1
Zaghouan,Domaine Miri,Olivier,97376789.0,Bir Hlima,Feuil1
Zaghdoun,Société Haddar,"Olivier , Amandier",21411550.0,Bir Hlima,Feuil1
